Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC 272: Covington vs. Masvidal,"March 05, 2022",Rafael Dos Anjos,Rafael Dos Anjos,Renato Moicano,1-0,149-88,5-0,0-0,Catch Weight,U-DEC,5,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Bryce Mitchell,Bryce Mitchell,Edson Barboza,1-0,34-16,4-0,0-0,Featherweight,U-DEC,3,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Kevin Holland,Kevin Holland,Alex Oliveira,1-0,50-21,0-2,0-1,Welterweight,KO/TKO-Elbows,2,0:38
UFC 272: Covington vs. Masvidal,"March 05, 2022",Serghei Spivac,Serghei Spivac,Greg Hardy,0-0,14-7,3-0,0-0,Heavyweight,KO/TKO-Punches,1,2:16
UFC 272: Covington vs. Masvidal,"March 05, 2022",Jalin Turner,Jalin Turner,Jamie Mullarkey,1-0,52-35,1-1,0-0,Lightweight,KO/TKO-Punch,2,0:46
UFC 272: Covington vs. Masvidal,"March 05, 2022",Marina Rodriguez,Marina Rodriguez,Yan Xiaonan,0-0,72-56,0-2,0-0,Women's Strawweight,S-DEC,3,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Nicolae Negumereanu,Nicolae Negumereanu,Kennedy Nzechukwu,0-0,64-95,1-0,0-0,Light Heavyweight,S-DEC,3,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Maryna Moroz,Maryna Moroz,Mariya Agapova,0-0,28-16,2-0,3-0,Women's Flyweight,SUB-Arm-Triangle,2,3:27
UFC 272: Covington vs. Masvidal,"March 05, 2022",Umar Nurmagomedov,Umar Nurmagomedov,Brian Kelleher,0-0,18-1,1-0,1-0,Featherweight,SUB-Rear-Naked-Choke,1,3:15
UFC 272: Covington vs. Masvidal,"March 05, 2022",Tim Elliott,Tim Elliott,Tagir Ulanbekov,1-0,79-90,3-2,0-1,Flyweight,U-DEC,3,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Ludovit Klein,Ludovit Klein,Devonte Smith,0-0,60-53,0-0,0-0,Lightweight,S-DEC,3,5:00
UFC 272: Covington vs. Masvidal,"March 05, 2022",Dustin Jacoby,Dustin Jacoby,Michal Oleksiejczuk,0-0,89-69,1-1,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Islam Makhachev,Islam Makhachev,Bobby Green,0-0,14-9,1-0,0-0,Catch Weight,KO/TKO-Punches,1,3:23
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Wellington Turman,Wellington Turman,Misha Cirkunov,0-0,15-30,0-1,2-1,Middleweight,SUB-Armbar,2,1:29
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Priscila Cachoeira,Priscila Cachoeira,Ji Yeon Kim,0-0,102-170,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Arman Tsarukyan,Arman Tsarukyan,Joel Alvarez,0-0,36-7,2-0,0-0,Lightweight,KO/TKO-Punches,2,1:57
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Armen Petrosyan,Armen Petrosyan,Gregory Rodrigues,0-0,127-61,0-2,0-2,Middleweight,S-DEC,3,5:00
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Ignacio Bahamondes,Ignacio Bahamondes,Rong Zhu,0-0,126-48,0-1,2-0,Lightweight,SUB-Guillotine-Choke,3,1:40
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Josiane Nunes,Josiane Nunes,Ramona Pascual,2-0,98-52,0-3,0-0,Women's Featherweight,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Terrance McKinney,Terrance McKinney,Fares Ziam,0-0,3-1,0-0,1-0,Lightweight,SUB-Rear-Naked-Choke,1,2:11
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Jonathan Martinez,Jonathan Martinez,Alejandro Perez,0-1,74-52,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Ramiz Brahimaj,Ramiz Brahimaj,Micheal Gillmore,0-0,0-0,1-0,3-0,Welterweight,SUB-Rear-Naked-Choke,1,2:02
UFC Fight Night: Makhachev vs. Green,"February 26, 2022",Carlos Hernandez,Carlos Hernandez,Victor Altamirano,0-0,84-79,2-1,0-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Jamahal Hill,Jamahal Hill,Johnny Walker,1-0,6-12,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,2:55
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Kyle Daukaus,Kyle Daukaus,Jamie Pickett,0-0,6-5,3-0,2-0,Catch Weight,SUB-D'Arce-Choke,1,4:59
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Parker Porter,Parker Porter,Alan Baudot,0-0,43-55,2-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Jim Miller,Jim Miller,Nikolas Motta,1-0,48-21,0-0,0-0,Lightweight,KO/TKO-Punch,2,1:58
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Joaquin Buckley,Joaquin Buckley,Abdul Razak Alhassan,0-0,51-46,5-3,0-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Walker vs. Hill,"February 19, 2022",David Onama,David Onama,Gabriel Benitez,1-0,36-46,0-0,0-0,Featherweight,KO/TKO-Punches,1,4:24
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Stephanie Egger,Stephanie Egger,Jessica-Rose Clark,0-0,5-2,2-1,1-0,Women's Bantamweight,SUB-Armbar,1,3:44
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Chas Skelly,Chas Skelly,Mark Striegl,1-0,14-8,1-0,0-0,Featherweight,KO/TKO-Knee,2,2:01
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Gloria de Paula,Gloria de Paula,Diana Belbita,0-0,88-87,1-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Chad Anheliger,Chad Anheliger,Jesse Strader,2-0,67-64,0-4,2-0,Bantamweight,KO/TKO-Punch,3,3:33
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Jonathan Pearce,Jonathan Pearce,Christian Rodriguez,0-0,18-26,6-2,2-3,Featherweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Hill,"February 19, 2022",Mario Bautista,Mario Bautista,Jay Perrin,0-0,72-42,4-2,0-0,Bantamweight,U-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Israel Adesanya,Israel Adesanya,Robert Whittaker,1-0,79-59,0-4,0-0,Middleweight,U-DEC,5,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Tai Tuivasa,Tai Tuivasa,Derrick Lewis,1-0,24-27,0-2,0-0,Heavyweight,KO/TKO-Elbow,2,1:40
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Jared Cannonier,Jared Cannonier,Derek Brunson,0-1,55-43,1-3,0-1,Middleweight,KO/TKO-Elbows,2,4:29
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Renato Moicano,Renato Moicano,Alexander Hernandez,0-0,33-37,2-0,1-0,Lightweight,SUB-Rear-Naked-Choke,2,1:23
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Bobby Green,Bobby Green,Nasrat Haqparast,0-0,188-76,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Andrei Arlovski,Andrei Arlovski,Jared Vanderaa,0-0,64-70,0-0,0-0,Heavyweight,S-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Casey O'Neill,Casey O'Neill,Roxanne Modafferi,0-0,229-120,0-2,0-0,Women's Flyweight,S-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Kyler Phillips,Kyler Phillips,Marcelo Rojo,0-0,80-55,3-0,2-0,Bantamweight,SUB-Triangle-Armbar,3,1:48
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Carlos Ulberg,Carlos Ulberg,Fabio Cherant,0-0,66-13,2-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Ronnie Lawrence,Ronnie Lawrence,Mana Martinez,3-2,46-39,6-0,0-1,Bantamweight,U-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Jacob Malkoun,Jacob Malkoun,AJ Dobson,0-0,80-52,6-0,0-0,Middleweight,U-DEC,3,5:00
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Douglas Silva de Andrade,Douglas Silva de Andrade,Sergey Morozov,3-1,37-32,0-1,2-0,Bantamweight,SUB-Rear-Naked-Choke,2,3:24
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Jeremiah Wells,Jeremiah Wells,Blood Diamond,0-0,15-1,1-0,1-0,Welterweight,SUB-Rear-Naked-Choke,1,4:38
UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022",Maxim Grishin,Maxim Grishin,William Knight,0-0,69-21,0-3,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Sean Strickland,Sean Strickland,Jack Hermansson,0-0,153-137,0-0,0-0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Nick Maximov,Nick Maximov,Punahele Soriano,0-0,29-45,11-0,1-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Shavkat Rakhmonov,Shavkat Rakhmonov,Carlston Harris,1-0,13-10,1-0,0-0,Welterweight,KO/TKO-Kick,1,4:10
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Brendan Allen,Brendan Allen,Sam Alvey,1-0,36-24,0-0,1-0,Light Heavyweight,SUB-Rear-Naked-Choke,2,2:10
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Bryan Battle,Bryan Battle,Tresean Gore,0-0,112-57,1-2,0-1,Middleweight,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Julian Erosa,Julian Erosa,Steven Peterson,0-0,155-148,3-0,0-2,Featherweight,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",John Castaneda,John Castaneda,Miles Johns,1-0,58-34,0-0,1-0,Bantamweight,SUB-Arm-Triangle,3,1:38
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Hakeem Dawodu,Hakeem Dawodu,Michael Trizano,0-0,141-70,0-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Chidi Njokuani,Chidi Njokuani,Marc-Andre Barriault,1-0,11-2,0-0,0-0,Middleweight,KO/TKO-Punches,1,0:16
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Alexis Davis,Alexis Davis,Julija Stoliarenko,0-0,85-56,1-0,0-3,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Jailton Almeida,Jailton Almeida,Danilo Marques,0-0,30-0,2-0,0-0,Light Heavyweight,KO/TKO-Punches,1,2:57
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Phil Rowe,Phil Rowe,Jason Witt,1-0,8-8,0-4,0-0,Welterweight,KO/TKO-Punches,2,2:15
UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022",Malcolm Gordon,Malcolm Gordon,Denys Bondar,0-0,3-4,1-1,1-0,Flyweight,KO/TKO,1,1:22
UFC 270: Ngannou vs. Gane,"January 22, 2022",Francis Ngannou,Francis Ngannou,Ciryl Gane,0-0,43-63,4-1,0-3,Heavyweight,U-DEC,5,5:00
UFC 270: Ngannou vs. Gane,"January 22, 2022",Deiveson Figueiredo,Deiveson Figueiredo,Brandon Moreno,3-0,86-105,2-1,0-0,Flyweight,U-DEC,5,5:00
UFC 270: Ngannou vs. Gane,"January 22, 2022",Michel Pereira,Michel Pereira,Andre Fialho,0-0,107-45,1-0,0-0,Welterweight,U-DEC,3,5:00
UFC 270: Ngannou vs. Gane,"January 22, 2022",Said Nurmagomedov,Said Nurmagomedov,Cody Stamann,0-0,7-1,0-0,1-0,Bantamweight,SUB-Guillotine-Choke,1,0:47
UFC 270: Ngannou vs. Gane,"January 22, 2022",Michael Morales,Michael Morales,Trevin Giles,1-0,26-8,0-1,0-1,Welterweight,KO/TKO-Punches,1,4:06
UFC 270: Ngannou vs. Gane,"January 22, 2022",Victor Henry,Victor Henry,Raoni Barcelos,0-0,181-134,0-1,0-0,Bantamweight,U-DEC,3,5:00
UFC 270: Ngannou vs. Gane,"January 22, 2022",Jack Della Maddalena,Jack Della Maddalena,Pete Rodriguez,1-0,43-25,0-0,0-0,Welterweight,KO/TKO-Punch,1,2:59
UFC 270: Ngannou vs. Gane,"January 22, 2022",Tony Gravely,Tony Gravely,Saimon Oliveira,0-0,46-35,11-0,0-4,Bantamweight,U-DEC,3,5:00
UFC 270: Ngannou vs. Gane,"January 22, 2022",Matt Frevola,Matt Frevola,Genaro Valdez,4-0,60-10,0-0,0-0,Lightweight,KO/TKO-Punches,1,3:15
UFC 270: Ngannou vs. Gane,"January 22, 2022",Vanessa Demopoulos,Vanessa Demopoulos,Silvana Gomez Juarez,0-1,4-10,0-0,2-0,Women's Strawweight,SUB-Armbar,1,2:25
UFC 270: Ngannou vs. Gane,"January 22, 2022",Jasmine Jasudavicius,Jasmine Jasudavicius,Kay Hansen,0-0,50-44,2-1,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Calvin Kattar,Calvin Kattar,Giga Chikadze,1-0,144-128,2-0,1-0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Jake Collier,Jake Collier,Chase Sherman,0-0,20-10,1-0,1-0,Heavyweight,SUB-Rear-Naked-Choke,1,2:26
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Brandon Royval,Brandon Royval,Rogerio Bontorin,0-0,40-28,0-8,3-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Katlyn Chookagian,Katlyn Chookagian,Jennifer Maia,0-0,72-52,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Viacheslav Borshchev,Viacheslav Borshchev,Dakota Bush,1-0,16-11,0-2,0-0,Lightweight,KO/TKO-Punch,1,3:47
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Bill Algeo,Bill Algeo,Joanderson Brito,0-0,59-40,2-2,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Jamie Pickett,Jamie Pickett,Joseph Holmes,0-0,50-51,2-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Court McGee,Court McGee,Ramiz Brahimaj,1-0,54-32,5-1,1-1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",Brian Kelleher,Brian Kelleher,Kevin Croom,1-0,38-60,6-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022",TJ Brown,TJ Brown,Charles Rosa,0-0,58-46,6-0,3-1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Derrick Lewis,Derrick Lewis,Chris Daukaus,1-0,14-10,0-0,0-0,Heavyweight,KO/TKO-Punches,1,3:36
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Belal Muhammad,Belal Muhammad,Stephen Thompson,0-0,58-19,7-0,1-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Amanda Lemos,Amanda Lemos,Angela Hill,1-0,50-48,0-1,0-0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Ricky Simon,Ricky Simon,Raphael Assuncao,1-0,18-7,2-0,0-0,Bantamweight,KO/TKO-Punch,2,2:14
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Mateusz Gamrot,Mateusz Gamrot,Diego Ferreira,0-0,25-36,4-0,0-0,Lightweight,KO/TKO-Knee,2,3:26
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Cub Swanson,Cub Swanson,Darren Elkins,1-0,18-2,0-0,0-0,Featherweight,KO/TKO-Punches,1,2:12
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Gerald Meerschaert,Gerald Meerschaert,Dustin Stoltzfus,0-0,11-12,1-4,3-1,Middleweight,SUB-Rear-Naked-Choke,3,2:58
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Justin Tafa,Justin Tafa,Harry Hunsucker,1-0,5-5,0-0,0-1,Heavyweight,KO/TKO-Kick,1,1:53
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Melissa Gatto,Melissa Gatto,Sijara Eubanks,1-0,17-14,0-1,0-0,Women's Flyweight,KO/TKO-Kick,3,0:45
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Charles Jourdain,Charles Jourdain,Andre Ewell,0-0,137-56,0-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Raquel Pennington,Raquel Pennington,Macy Chiasson,0-0,45-26,0-1,1-0,Women's Featherweight,SUB-Guillotine-Choke,2,3:07
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Don'Tale Mayes,Don'Tale Mayes,Josh Parisian,0-0,25-10,6-0,0-0,Heavyweight,KO/TKO-Elbows,3,3:26
UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021",Jordan Leavitt,Jordan Leavitt,Matt Sayles,0-0,9-13,1-1,3-1,Lightweight,SUB-Inverted-Triangle,2,2:05
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Charles Oliveira,Charles Oliveira,Dustin Poirier,0-1,73-58,0-0,3-0,Lightweight,SUB-Rear-Naked-Choke,3,1:02
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Julianna Pena,Julianna Pena,Amanda Nunes,0-0,79-46,1-1,1-0,Women's Bantamweight,SUB-Rear-Naked-Choke,2,3:26
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Geoff Neal,Geoff Neal,Santiago Ponzinibbio,0-0,85-91,0-1,0-0,Welterweight,S-DEC,3,5:00
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Kai Kara-France,Kai Kara-France,Cody Garbrandt,2-0,23-9,0-0,0-0,Flyweight,KO/TKO-Punches,1,3:21
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Sean O'Malley,Sean O'Malley,Raulian Paiva,1-0,39-11,0-0,0-0,Bantamweight,KO/TKO-Punches,1,4:42
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Josh Emmett,Josh Emmett,Dan Ige,1-0,60-70,0-1,0-0,Featherweight,U-DEC,3,5:00
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Dominick Cruz,Dominick Cruz,Pedro Munhoz,0-1,103-74,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Tai Tuivasa,Tai Tuivasa,Augusto Sakai,1-0,34-21,0-0,0-0,Heavyweight,KO/TKO-Punches,2,0:26
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Bruno Silva,Bruno Silva,Jordan Wright,1-0,19-20,0-0,0-0,Middleweight,KO/TKO-Punches,1,1:28
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Andre Muniz,Andre Muniz,Eryk Anders,0-0,8-3,2-0,2-0,Middleweight,SUB-Armbar,1,3:13
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Erin Blanchfield,Erin Blanchfield,Miranda Maverick,0-0,46-21,7-0,1-0,Women's Flyweight,U-DEC,3,5:00
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Ryan Hall,Ryan Hall,Darrick Minner,0-0,40-26,0-1,7-0,Featherweight,U-DEC,3,5:00
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Tony Kelley,Tony Kelley,Randy Costa,0-0,82-31,0-0,0-0,Bantamweight,KO/TKO-Elbows,2,4:15
UFC 269: Oliveira vs. Poirier,"December 11, 2021",Gillian Robertson,Gillian Robertson,Priscila Cachoeira,0-0,32-20,1-0,1-0,Women's Flyweight,SUB-Rear-Naked-Choke,1,4:59
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Jose Aldo,Jose Aldo,Rob Font,2-0,86-149,0-1,1-0,Bantamweight,U-DEC,5,5:00
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Rafael Fiziev,Rafael Fiziev,Brad Riddell,0-0,66-59,0-1,0-0,Lightweight,KO/TKO-Kick,3,2:20
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Jamahal Hill,Jamahal Hill,Jimmy Crute,1-0,4-6,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,0:48
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Clay Guida,Clay Guida,Leonardo Santos,0-1,18-41,2-0,1-0,Lightweight,SUB-Rear-Naked-Choke,2,1:21
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Chris Curtis,Chris Curtis,Brendan Allen,1-0,61-43,0-0,0-1,Middleweight,KO/TKO-Knees,2,1:58
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Alex Morono,Alex Morono,Mickey Gall,1-0,90-65,0-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Dusko Todorovic,Dusko Todorovic,Maki Pitolo,0-0,30-13,1-0,0-1,Middleweight,KO/TKO-Punches,1,4:34
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Manel Kape,Manel Kape,Zhalgas Zhumagulov,2-0,53-31,0-0,0-0,Flyweight,KO/TKO-Punches,1,4:02
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Bryan Barberena,Bryan Barberena,Darian Weeks,0-0,108-118,0-4,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Cheyanne Vlismas,Cheyanne Vlismas,Mallory Martin,0-0,134-80,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Font vs. Aldo,"December 04, 2021",William Knight,William Knight,Alonzo Menifield,1-0,55-44,1-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Claudio Puelles,Claudio Puelles,Chris Gruetzemacher,0-0,43-38,1-1,1-0,Lightweight,SUB-Kneebar,3,3:25
UFC Fight Night: Font vs. Aldo,"December 04, 2021",Vince Morales,Vince Morales,Louis Smolka,1-0,27-23,0-0,0-0,Bantamweight,KO/TKO-Punch,1,2:02
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Ketlen Vieira,Ketlen Vieira,Miesha Tate,0-0,113-122,0-1,0-0,Women's Bantamweight,U-DEC,5,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Sean Brady,Sean Brady,Michael Chiesa,0-0,18-29,5-1,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Taila Santos,Taila Santos,Joanne Wood,2-0,30-27,0-0,2-0,Women's Flyweight,SUB-Rear-Naked-Choke,1,4:49
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Rani Yahya,Rani Yahya,Kyung Ho Kang,0-1,27-43,3-0,1-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Adrian Yanez,Adrian Yanez,Davey Grant,0-0,100-98,0-0,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Pat Sabatini,Pat Sabatini,Tucker Lutz,0-0,16-17,5-1,3-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Rafa Garcia,Rafa Garcia,Natan Levy,0-0,35-47,7-3,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Loopy Godinez,Loopy Godinez,Loma Lookboonmee,0-0,23-15,5-1,1-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Cody Durden,Cody Durden,Aoriqileng,0-0,60-65,5-1,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Shayilan Nuerdanbieke,Shayilan Nuerdanbieke,Sean Soriano,0-0,17-35,4-2,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Vieira vs. Tate,"November 20, 2021",Luana Pinheiro,Luana Pinheiro,Sam Hughes,1-0,60-53,2-0,1-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Max Holloway,Max Holloway,Yair Rodriguez,0-0,230-159,3-1,1-0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Marcos Rogerio de Lima,Marcos Rogerio de Lima,Ben Rothwell,0-0,14-2,0-0,0-0,Heavyweight,KO/TKO-Punches,1,0:32
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Felicia Spencer,Felicia Spencer,Leah Letson,0-0,56-17,4-1,0-0,Women's Featherweight,KO/TKO-Elbows,3,4:25
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Khaos Williams,Khaos Williams,Miguel Baeza,1-0,49-31,0-0,0-5,Welterweight,KO/TKO-Punch,3,1:02
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Song Yadong,Song Yadong,Julio Arce,1-0,30-13,0-0,0-0,Bantamweight,KO/TKO-Punches,2,1:35
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Joel Alvarez,Joel Alvarez,Thiago Moises,0-0,44-11,0-0,0-0,Lightweight,KO/TKO-Elbows,1,3:01
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Andrea Lee,Andrea Lee,Cynthia Calvillo,0-0,84-47,0-1,0-0,Women's Flyweight,KO/TKO,2,5:00
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Sean Woodson,Sean Woodson,Collin Anglin,1-0,50-8,0-0,0-0,Featherweight,KO/TKO-Punches,1,4:30
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Cortney Casey,Cortney Casey,Liana Jojua,0-0,89-34,0-2,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Rafael Alves,Rafael Alves,Marc Diakiese,0-0,6-3,0-0,1-0,Lightweight,SUB-Guillotine-Choke,1,1:48
UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021",Da Woon Jung,Da Woon Jung,Kennedy Nzechukwu,1-0,16-6,0-0,0-0,Light Heavyweight,KO/TKO-Elbows,1,3:04
UFC 268: Usman vs. Covington 2,"November 06, 2021",Kamaru Usman,Kamaru Usman,Colby Covington,2-0,123-107,1-0,0-0,Welterweight,U-DEC,5,5:00
UFC 268: Usman vs. Covington 2,"November 06, 2021",Rose Namajunas,Rose Namajunas,Zhang Weili,0-0,86-83,2-5,0-0,Women's Strawweight,S-DEC,5,5:00
